,Name,Sex,Date of Birth,Age,Height (inches),Weight (lb),Class Year,Major,School,"Grade in ""Intro to python""","Grade in ""Intro to Stats""",Final Data Science Grade
2364,Stacey Roman,2,1996-06-10,27,67.0,125,2018,University of Wisconsin,ACMS,F,"""80.7""",84.5
2365,Patricia Peterson,1,2001-08-27,22,66.0,130,2023,University of Notre Dame,Computer Science & Engineering,A,"""82.8""",76.8
2366,Elizabeth Jones,1,1999-05-21,24,67.0,120,2021,St. Joseph's University,Computer Science & Engineering,Pass,"""98.7""",84.1
2367,Erika Francis,2,2000-08-22,23,69.0,165,2022,University of Illinois,Computer Science & Engineering,C,"""77.5""",86.0
2368,Kimberly Lucero,1,1996-06-07,27,62.0,130,2018,University of Wisconsin,Computer Science & Engineering,F,"""95.6""",95.2
2369,Mark Vega,2,2001-01-01,22,67.0,160,2023,University of Alabama,Computer Science & Engineering,C,"""90.7""",92.5
2370,Diana Armstrong,1,1998-11-21,25,63.0,130,2020,Duke University,Computer Science & Engineering,D,"""98.2""",86.8
2371,Patrick Watts,0,2002-04-29,21,71.0,175,2024,UCLA,Computer Science & Engineering,A,"""86.8""",66.2
2372,Vicki White,1,1994-02-13,29,65.0,130,2016,UMBC,Computer Science & Engineering,Pass,"""84.7""",85.9
2373,Nathaniel Cox,2,1998-01-31,25,,160,2020,UMBC,Computer Science & Engineering,Pass,"""72.3""",80.1
2374,Amy Ellis,2,1992-06-24,31,65.0,135,2014,University of Notre Dame,Computer Science & Engineering,B,"""93.5""",76.6
2375,Emily Barnett,1,2002-10-06,21,61.0,130,2024,MIT,Computer Science & Engineering,A,"""95.9""",86.6
2376,Christopher Wilson,0,1993-07-27,30,63.0,160,2015,Duke University,Computer Science & Engineering,F,"""85.3""",83.7
2377,Kathryn Fuentes,1,1995-03-16,28,63.0,115,2017,Holy Cross College,Theology,,"""98.6""",86.0
2378,Crystal Bell,2,1994-06-20,29,71.0,155,2016,University of Alabama,ACMS,,"""89.0""",90.1
2379,Kelly Ellis,1,1998-04-23,25,64.0,110,2020,Harvard University,ACMS,,"""84.3""",95.3
2380,Aaron Parrish,0,2002-07-05,21,68.0,165,2024,Duke University,Computer Science & Engineering,B,"""78.7""",83.3
2381,Wanda Richard,2,2003-06-30,20,65.0,145,2025,UMBC,Computer Science & Engineering,Fail,"""92.9""",89.3
2382,Timothy Gillespie,2,1994-03-14,29,64.0,130,2016,University of Nebraska,Computer Science & Engineering,Pass,"""77.9""",88.1
2383,Laura Cole,1,2001-06-07,22,62.0,130,2023,Marquette University,ACMS,,"""92.8""",87.6
2384,Jordan Best,2,2000-12-13,23,63.0,115,2022,Brown University,Theology,,"""87.5""",84.2
2385,Sharon Leon,2,1996-06-24,27,64.0,105,2018,Duke University,Theology,,"""100""",85.1
2386,Emma Drake,2,1998-06-19,25,69.0,150,2020,Holy Cross College,Computer Science & Engineering,C,"""83.6""",89.5
2387,Carlos Jones,2,1992-06-07,31,67.0,165,2014,MIT,Computer Science & Engineering,C,"""83.3""",83.0
2388,Jacqueline Edwards,2,2003-05-03,20,60.0,130,2025,University of Illinois,Computer Science & Engineering,B,"""96.6""",69.2
2389,Henry Koch,0,2000-08-24,23,67.0,170,2022,Purdue,Computer Science & Engineering,B,"""87.2""",77.3
2390,Wesley Jones,0,1995-12-11,28,68.0,155,2017,University of Illinois,Computer Science & Engineering,B,"""96.8""",93.0
2391,Wayne Grant,0,1992-06-17,31,,180,2014,MIT,Math,,"""85.2""",93.3
2392,Brett Clark,2,1997-01-18,26,160.0,125,2019,Holy Cross College,Theology,,"""85.4""",77.3
2393,Teresa Jones,2,1992-02-26,31,64.0,115,2014,University of Wisconsin,Computer Science & Engineering,B,"""82.3""",91.5
2394,Susan Shepherd,2,2001-11-19,22,67.0,170,2023,University of Wisconsin,ACMS,,"""87.1""",74.0
2395,Misty Villa,2,1998-01-20,25,65.0,135,2020,University of Notre Dame,Computer Science & Engineering,C,"""85.1""",78.9
2396,James Baker,0,1996-06-09,27,71.0,155,2018,University of Notre Dame,Computer Science & Engineering,B,"""79.8""",85.7
2397,Amy Sanchez,1,2003-12-03,20,63.0,120,2025,USC,Computer Science & Engineering,A,"""92.3""",80.3
2398,Jocelyn Rodriguez,2,2000-07-09,23,165.0,125,2022,Brown University,Computer Science & Engineering,B,"""83.1""",86.0
2399,Caroline Smith,1,1995-03-22,28,61.0,100,2017,University of Wisconsin,Computer Science & Engineering,B,"""80.7""",82.8
2400,Justin Moody,0,1994-08-23,29,68.0,140,2016,Michigan State University,ACMS,,"""75.8""",94.2
2401,Michael Rodriguez,0,2003-08-13,20,72.0,150,2025,Holy Cross College,Electrical Engineering,,"""76.5""",86.2
2402,Heidi Watkins,1,1994-07-12,29,65.0,140,2016,University of Alabama,Math,D,"""90.5""",89.6
2403,Michael Foster,0,1994-03-18,29,65.0,145,2016,University of Alabama,Math,,"""92.4""",78.1
2404,Amanda Smith,1,1998-10-01,25,64.0,125,2020,University of Wisconsin,Computer Science & Engineering,C,"""91.6""",72.1
2405,Cheryl Brown,1,1992-04-20,31,67.0,125,2014,Purdue,Computer Science & Engineering,C,"""73.4""",88.8
2406,Beverly Evans,2,1998-06-21,25,170.0,170,2020,MIT,Theology,,"""85.8""",82.1
2407,Edward Collins,0,1997-03-21,26,69.0,165,2019,Marquette University,Electrical Engineering,,"""82.7""",89.4
2408,Kimberly Little,2,2000-11-25,23,68.0,150,2022,St. Joseph's University,Computer Science & Engineering,Pass,"""100""",82.5
2409,Terri Sanchez,2,2003-09-18,20,70.0,170,2025,Brown University,Computer Science & Engineering,C,"""86.2""",83.9
2410,Olivia Phillips,1,1996-03-23,27,63.0,110,2018,UMBC,Computer Science & Engineering,Pass,"""85.9""",90.3
2411,Evan Dunn,0,2003-06-13,20,72.0,170,2025,Duke University,Theology,,"""96.8""",82.3
2412,Margaret Thompson,2,1996-02-25,27,67.0,145,2018,University of Nebraska,Computer Science & Engineering,Fail,"""84.0""",75.9
2413,Jacqueline Hammond,1,1992-07-11,31,63.0,115,2014,Michigan State University,Computer Science & Engineering,A,"""85.9""",96.3
2414,Zachary Benson,2,2003-04-25,20,71.0,160,2025,St. Joseph's University,Computer Science & Engineering,Pass,"""83.2""",87.5
2415,Ricky Herrera,0,2000-04-07,23,69.0,145,2022,Brown University,ACMS,,"""69.5""",73.4
2416,Gina Turner,2,1998-04-02,25,64.0,145,2020,UCLA,Computer Science & Engineering,B,"""91.3""",91.8
2417,Jeffrey Davis,2,2000-10-30,23,,170,2022,UMBC,Computer Science & Engineering,Pass,"""71.5""",91.1
2418,Nancy Mooney,1,2000-07-17,23,63.0,130,2022,UCLA,Computer Science & Engineering,D,"""84.1""",81.3
2419,Elizabeth Marsh,1,1992-03-28,31,65.0,120,2014,University of Wisconsin,Computer Science & Engineering,D,"""81.8""",93.1
2420,Shane Walsh,0,1994-01-22,29,69.0,170,2016,UMBC,Computer Science & Engineering,Pass,"""90.3""",95.2
2421,Donald Gillespie,2,1998-03-12,25,66.0,140,2020,Holy Cross College,Computer Science & Engineering,A,"""75.0""",90.2
2422,Matthew Rivera,0,1999-05-14,24,67.0,160,2021,Marquette University,Computer Science & Engineering,Pass,"""92.6""",80.7
2423,Kelly Collins,1,2000-06-05,23,68.0,145,2022,University of Illinois,Math,,"""98.9""",79.7
2424,Heather Bennett,2,1998-01-05,25,62.0,115,2020,UMBC,Computer Science & Engineering,Pass,"""91.6""",85.3
2425,Debra Burke,1,2001-04-24,22,66.0,110,2023,Marquette University,Computer Science & Engineering,Pass,"""87.5""",87.1
2426,Hannah Johnson,1,2001-10-02,22,62.0,115,2023,Stanford University,Computer Science & Engineering,A,"""92.6""",86.1
2427,Amy Moreno,1,1997-11-20,26,61.0,125,2019,UCLA,Math,,"""82.3""",86.4
2428,Jodi Hernandez,2,2001-07-13,22,170.0,155,2023,University of Nebraska,Math,,"""92.4""",82.4
2429,April Cox,1,1994-06-28,29,64.0,105,2016,UCLA,Computer Science & Engineering,F,"""79.9""",100.0
2430,Richard Martinez,0,1998-07-02,25,70.0,175,2020,University of Nebraska,Computer Science & Engineering,Pass,"""75.8""",72.0
2431,Cynthia Brewer,1,2003-12-17,20,67.0,130,2025,Marquette University,Computer Science & Engineering,Pass,"""94.6""",87.5
2432,Tamara Vasquez,1,1995-12-15,28,63.0,110,2017,Purdue,Computer Science & Engineering,F,"""85.8""",80.1
2433,Jennifer Olson,1,1999-03-15,24,63.0,110,2021,Duke University,Theology,,"""87.3""",75.6
2434,Dustin White,2,1999-09-08,24,157.0,105,2021,Holy Cross College,Theology,,"""100""",77.0
2435,Shawn Jones,0,2001-10-02,22,,165,2023,MIT,Computer Science & Engineering,F,"""86.7""",84.9
2436,John Monroe,0,1992-07-13,31,67.0,145,2014,University of Michigan (boo),Computer Science & Engineering,C,"""85.8""",86.0
2437,Patrick Underwood,0,1995-08-20,28,65.0,145,2017,St. Joseph's University,Theology,,"""80.8""",76.5
2438,Ashley Herrera,2,1997-08-17,26,67.0,120,2019,Brown University,Computer Science & Engineering,B,"""89.4""",83.7
2439,Jacqueline Ford,2,1995-03-18,28,62.0,125,2017,University of Florida,Computer Science & Engineering,D,"""73.4""",79.3
2440,Jill Andrews,2,2003-06-21,20,160.0,135,2025,University of Florida,Math,,"""84.2""",88.5
2441,Christopher Mcguire,0,1999-09-20,24,72.0,155,2021,University of Notre Dame,Theology,,"""93.0""",84.1
2442,Felicia Schwartz,2,1994-05-08,29,65.0,140,2016,University of Wisconsin,ACMS,,"""87.6""",77.6
2443,Michael Stone,0,1998-05-13,25,64.0,150,2020,UCLA,ACMS,,"""94.4""",78.1
2444,Steven Johnston,0,2001-06-15,22,72.0,155,2023,UMBC,Computer Science & Engineering,Pass,"""85.3""",89.5
2445,Betty Jones,2,2003-01-21,20,67.0,170,2025,University of Wisconsin,Theology,,"""83.3""",76.7
2446,Zachary Hernandez,0,1999-10-21,24,72.0,160,2021,St. Joseph's University,Computer Science & Engineering,Fail,"""86.8""",99.5
2447,Emily Walker,2,1999-06-08,24,63.0,135,2021,University of Wisconsin,Math,,"""90.1""",87.1
2448,John Yates,0,2003-04-14,20,71.0,155,2025,University of Wisconsin,Computer Science & Engineering,D,"""81.8""",84.1
2449,Jeffrey Ross,0,1995-12-16,28,66.0,155,2017,Duke University,Computer Science & Engineering,D,"""94.8""",78.4
2450,Leslie Hale,1,2000-05-22,23,59.0,105,2022,University of Nebraska,Computer Science & Engineering,Pass,"""86.3""",83.2
2451,Arthur White,2,1996-11-07,27,62.0,160,2018,University of Notre Dame,Computer Science & Engineering,D,"""80.9""",89.1
2452,Marcus Callahan,2,1999-04-01,24,,175,2021,University of Michigan (boo),Computer Science & Engineering,D,"""90.8""",87.8
2453,Zachary Garner,0,2002-01-19,21,67.0,160,2024,UCLA,Computer Science & Engineering,A,"""73.3""",79.0
2454,Nicholas Wilson,0,2000-03-19,23,68.0,150,2022,Marquette University,Computer Science & Engineering,Pass,"""78.4""",75.6
2455,Matthew Collins,0,2003-02-05,20,69.0,170,2025,University of Wisconsin,Computer Science & Engineering,A,"""79.8""",93.9
2456,Brian Stewart,0,2001-09-06,22,69.0,160,2023,UCLA,Computer Science & Engineering,B,"""75.1""",82.1
2457,Jose Shah,0,1997-12-15,26,69.0,150,2019,University of Notre Dame,Computer Science & Engineering,F,"""93.2""",84.3
2458,Carlos Patterson,0,1995-11-16,28,70.0,165,2017,Duke University,Computer Science & Engineering,F,"""91.2""",91.9
2459,Eric Walker,0,2002-01-14,21,71.0,170,2024,University of Wisconsin,Computer Science & Engineering,F,"""80.1""",84.2
2460,Kyle Jackson,0,2000-02-19,23,,155,2022,Michigan State University,Math,,"""86.2""",85.2
2461,Anthony Lopez,2,1998-03-25,25,62.0,115,2020,Purdue,Computer Science & Engineering,B,"""99.5""",83.7
2462,Nicole Acosta,1,2000-10-08,23,63.0,110,2022,University of Michigan (boo),Computer Science & Engineering,B,"""86.3""",94.8
2463,Jonathon Williams,2,2001-10-20,22,63.0,135,2023,Duke University,Computer Science & Engineering,D,"""84.3""",99.9
2464,Charles Kent,0,1995-07-12,28,68.0,165,2017,Holy Cross College,Computer Science & Engineering,F,"""85.3""",78.7
2465,Carl Hudson,2,1996-05-26,27,69.0,145,2018,Stanford University,Computer Science & Engineering,B,"""97.0""",93.7
2466,Ellen English,2,1999-06-09,24,70.0,150,2021,Holy Cross College,Computer Science & Engineering,D,"""71.4""",91.0
2467,Marie Arellano,2,2003-07-21,20,69.0,150,2025,Brown University,Electrical Engineering,,"""88.7""",77.6
2468,Stanley Wood,2,1996-11-21,27,69.0,170,2018,UCLA,Computer Science & Engineering,D,"""79.7""",88.9
2469,Lisa Davis,1,1994-02-04,29,61.0,115,2016,UMBC,Computer Science & Engineering,Pass,"""83.8""",84.1
2470,William Boyer,2,1996-05-16,27,70.0,145,2018,University of Florida,Computer Science & Engineering,B,"""90.7""",88.5
2471,Timothy Atkinson,0,2000-04-12,23,71.0,150,2022,Holy Cross College,Computer Science & Engineering,B,"""72.2""",90.4
2472,Christopher Davis,0,1992-05-23,31,67.0,155,2014,Marquette University,Math,,"""89.1""",81.7
2473,Jeffery Stanley,0,1993-10-01,30,67.0,155,2015,University of Nebraska,Computer Science & Engineering,Pass,"""94.4""",92.0
2474,Brian Barnes,0,1996-06-19,27,70.0,175,2018,MIT,Electrical Engineering,,"""87.7""",79.4
2475,Julie Wallace,1,2003-10-04,20,61.0,120,2025,Duke University,Computer Science & Engineering,A,"""76.8""",93.7
2476,Natalie Fields,1,1996-09-27,27,66.0,140,2018,Michigan State University,Theology,,"""78.2""",86.1
2477,Monica Benson,1,2003-01-22,20,62.0,105,2025,University of Wisconsin,Computer Science & Engineering,A,"""88.9""",84.3
2478,Jennifer Palmer,1,1996-07-22,27,63.0,130,2018,Purdue,Computer Science & Engineering,D,"""78.2""",72.8
2479,Keith Thompson,0,1993-03-17,30,63.0,135,2015,USC,Computer Science & Engineering,A,"""89.3""",80.3
2480,Marilyn Hughes,1,1997-10-27,26,62.0,115,2019,St. Joseph's University,Computer Science & Engineering,Pass,"""83.5""",82.9
2481,Madison Ramirez,2,2001-10-07,22,71.0,150,2023,Michigan State University,Theology,,"""83.9""",89.5
2482,Jacqueline Wells,1,1998-03-28,25,65.0,135,2020,UCLA,Computer Science & Engineering,D,"""79.2""",89.8
2483,Sheila Vincent,1,2001-09-12,22,65.0,120,2023,University of Nebraska,Computer Science & Engineering,Fail,"""77.7""",94.4
2484,John Carter,0,2003-08-01,20,67.0,170,2025,Michigan State University,Computer Science & Engineering,A,"""94.4""",89.0
2485,Matthew Beasley,0,1999-06-04,24,71.0,165,2021,Holy Cross College,Computer Science & Engineering,A,"""72.6""",100.0
2486,Grace Paul,1,1995-11-19,28,66.0,125,2017,Harvard University,Math,,"""84.6""",80.5
2487,Heather Kelley,2,1992-06-02,31,154.0,100,2014,University of Michigan (boo),Computer Science & Engineering,F,"""85.4""",87.6
2488,Jason Smith,0,1992-08-12,31,68.0,140,2014,Purdue,Computer Science & Engineering,B,"""82.9""",86.4
2489,Amanda Spears,1,2003-04-20,20,66.0,135,2025,Michigan State University,Computer Science & Engineering,C,"""89.1""",78.3
2490,Christina Dixon,1,1996-04-22,27,62.0,120,2018,University of Nebraska,Computer Science & Engineering,Fail,"""88.5""",75.6
2491,Brandy Benton,1,1992-11-02,31,63.0,135,2014,UCLA,Computer Science & Engineering,B,"""90.1""",73.1
2492,Tom Miller,2,1997-10-02,26,68.0,150,2019,Holy Cross College,Computer Science & Engineering,A,"""93.5""",87.0
2493,Sharon Stevens,1,1993-10-01,30,57.0,125,2015,MIT,Computer Science & Engineering,F,"""82.7""",91.8
2494,James Smith,0,1992-06-07,31,,155,2014,Stanford University,Computer Science & Engineering,B,"""87.3""",84.1
2495,Eugene Small,0,2003-08-21,20,62.0,155,2025,University of Notre Dame,Computer Science & Engineering,A,"""90.6""",85.7
2496,Steve Berger,0,1993-08-05,30,69.0,170,2015,University of Florida,Math,C,"""74.2""",89.4
2497,Timothy Santana,0,1996-08-22,27,68.0,140,2018,University of Illinois,Computer Science & Engineering,B,"""82.1""",98.6
2498,Luis Black,2,2003-08-09,20,,175,2025,University of Michigan (boo),Computer Science & Engineering,B,"""87.4""",93.5
2499,Kimberly Snyder,1,1997-12-31,26,61.0,100,2019,University of Alabama,Computer Science & Engineering,A,"""95.3""",77.5
2500,Robert Schroeder,2,1997-10-22,26,167.0,165,2019,Brown University,Computer Science & Engineering,B,"""100""",82.9
2501,Sheryl Trevino,2,1998-04-08,25,67.0,140,2020,University of Illinois,Computer Science & Engineering,B,"""90.2""",96.2
2502,David Knapp,0,1995-08-02,28,68.0,150,2017,University of Notre Dame,Computer Science & Engineering,B,"""74.2""",85.2
2503,Ryan Burnett,0,1998-04-24,25,67.0,150,2020,Brown University,ACMS,,"""72.6""",95.4
2504,Tammie Blair,1,2003-05-24,20,66.0,125,2025,USC,ACMS,,"""72.2""",83.3
2505,Rebecca Gordon,1,2002-06-10,21,60.0,105,2024,University of Illinois,Computer Science & Engineering,B,"""75.5""",93.6
2506,Joseph Garcia,0,2001-01-05,22,69.0,145,2023,University of Florida,Computer Science & Engineering,B,"""86.2""",98.3
2507,Daniel Oconnor,0,1992-06-22,31,72.0,160,2014,Brown University,Computer Science & Engineering,D,"""87.9""",76.4
2508,Justin Williams,0,2002-06-02,21,65.0,140,2024,Holy Cross College,Math,,"""81.2""",88.9
2509,Michael Jackson,0,2001-01-07,22,68.0,155,2023,USC,Computer Science & Engineering,D,"""84.4""",100.0
2510,Thomas Gray,2,1998-01-03,25,71.0,165,2020,Harvard University,Computer Science & Engineering,B,"""81.1""",83.7
2511,David Martin,2,2003-10-04,20,67.0,135,2025,Brown University,Computer Science & Engineering,C,"""75.5""",83.6
2512,Jason Hernandez,2,2002-03-14,21,65.0,110,2024,University of Florida,Electrical Engineering,,"""81.0""",64.7
2513,Linda Petty,2,2003-06-07,20,62.0,130,2025,Michigan State University,Computer Science & Engineering,A,"""77.7""",87.4
2514,Candice Perez,1,2000-04-09,23,61.0,130,2022,Holy Cross College,Computer Science & Engineering,C,"""89.0""",85.2
2515,Theresa Ellis,1,1993-03-02,30,66.0,110,2015,University of Notre Dame,Computer Science & Engineering,D,"""72.7""",85.3
2516,Kyle Rodriguez,2,1996-02-15,27,65.0,145,2018,University of Wisconsin,Computer Science & Engineering,B,"""73.7""",81.4
2517,Cody Marshall,0,2000-02-16,23,65.0,165,2022,Duke University,Theology,,"""96.0""",89.7
2518,Carol Armstrong,2,1997-01-29,26,70.0,150,2019,Stanford University,Computer Science & Engineering,C,"""84.5""",100.0
2519,Robert Powers,2,1998-01-27,25,62.0,105,2020,Brown University,Computer Science & Engineering,B,"""85.3""",76.2
2520,Andrew Patterson,0,2002-01-12,21,,160,2024,University of Notre Dame,Theology,,"""88.3""",72.6
2521,Michael King,0,1996-08-27,27,68.0,150,2018,USC,Computer Science & Engineering,D,"""80.3""",90.7
2522,Tyler Suarez,2,1998-11-16,25,62.0,125,2020,Holy Cross College,Computer Science & Engineering,B,"""87.5""",83.2
2523,Melissa Mccall,1,1994-05-28,29,65.0,140,2016,Marquette University,Computer Science & Engineering,Pass,"""90.7""",91.4
2524,Chad Kennedy,0,2002-05-24,21,70.0,160,2024,University of Illinois,Math,,"""91.2""",85.8
2525,Cynthia Young,1,1996-11-14,27,65.0,115,2018,Harvard University,Computer Science & Engineering,A,"""80.3""",86.5
2526,Philip Williams,2,1994-06-26,29,64.0,130,2016,Stanford University,Computer Science & Engineering,A,"""69.4""",89.2
2527,Lauren Thompson,1,1999-12-08,24,64.0,110,2021,Duke University,Computer Science & Engineering,C,"""72.3""",100.0
2528,Laurie Mendoza,1,1998-05-06,25,62.0,115,2020,Duke University,Computer Science & Engineering,B,"""82.3""",84.8
2529,James Miller,0,2002-10-25,21,68.0,140,2024,Stanford University,Computer Science & Engineering,A,"""86.3""",71.9
2530,Tyler Blackburn,0,2003-06-18,20,69.0,145,2025,MIT,Computer Science & Engineering,B,"""89.0""",78.8
2531,Kenneth Jackson,0,1992-02-25,31,70.0,175,2014,University of Wisconsin,Computer Science & Engineering,B,"""77.1""",95.4
2532,David Gaines,0,1997-11-18,26,71.0,170,2019,Harvard University,Computer Science & Engineering,B,"""76.8""",89.9
2533,Jody Pratt,1,1998-07-22,25,63.0,135,2020,Marquette University,Computer Science & Engineering,Fail,"""81.9""",86.4
2534,Alyssa Snow,2,2000-04-30,23,68.0,150,2022,MIT,Theology,,"""84.3""",87.2
2535,Troy Anderson,0,1994-05-15,29,71.0,175,2016,University of Michigan (boo),Theology,,"""96.8""",83.7
2536,Carolyn White,2,2000-12-10,23,177.0,155,2022,University of Notre Dame,Computer Science & Engineering,B,"""81.2""",81.1
2537,Debbie Garcia,1,1999-02-05,24,63.0,105,2021,Stanford University,Computer Science & Engineering,C,"""76.3""",96.1
2538,Kevin Pace,0,2003-11-01,20,71.0,170,2025,UMBC,Computer Science & Engineering,Pass,"""86.0""",83.6
2539,Catherine Perez,1,1994-09-11,29,65.0,115,2016,MIT,Theology,,"""88.1""",83.6
2540,Michael Hendricks,0,2003-04-21,20,68.0,170,2025,University of Alabama,Math,,"""87.3""",87.8
2541,Kevin Lawson,0,2000-11-04,23,71.0,175,2022,Michigan State University,ACMS,,"""94.4""",88.2
2542,Amber Hoffman,1,2002-10-23,21,62.0,125,2024,Michigan State University,Computer Science & Engineering,F,"""82.8""",85.2
2543,Jennifer Walker,2,1992-08-11,31,65.0,150,2014,Stanford University,Computer Science & Engineering,A,"""83.1""",83.7
2544,Brian Williams,0,1995-07-04,28,70.0,175,2017,Marquette University,Theology,,"""86.6""",77.9
2545,Hannah Johnson,1,1994-05-09,29,65.0,115,2016,Marquette University,Computer Science & Engineering,Pass,"""72.6""",82.6
2546,John Allen,0,1999-02-20,24,69.0,160,2021,Harvard University,ACMS,,"""99.2""",86.3
2547,Sydney Callahan,2,1996-10-08,27,165.0,150,2018,University of Wisconsin,Math,,"""86.3""",88.0
2548,Christopher Gutierrez,0,1995-12-21,28,67.0,155,2017,University of Notre Dame,Theology,B,"""84.0""",85.2
2549,Anna Snyder,1,1997-02-09,26,62.0,110,2019,University of Wisconsin,Computer Science & Engineering,A,"""75.7""",77.5
2550,Martin Crawford,0,1994-11-19,29,68.0,150,2016,St. Joseph's University,Math,,"""71.1""",81.9
2551,Stephanie Garcia,1,2003-10-06,20,62.0,105,2025,Brown University,Computer Science & Engineering,A,"""82.6""",76.1
2552,Luis Bailey,0,1994-03-25,29,68.0,150,2016,Michigan State University,Computer Science & Engineering,D,"""84.8""",66.6
2553,Ashley Mcgee,2,1996-12-17,27,65.0,115,2018,UCLA,Computer Science & Engineering,C,"""89.0""",84.4
2554,Peggy Williams,1,1999-07-23,24,63.0,120,2021,University of Nebraska,ACMS,,"""83.3""",77.7
2555,Jennifer Buckley,2,1999-06-29,24,69.0,170,2021,University of Florida,ACMS,A,"""82.8""",92.9
2556,Lisa Ortega,2,1997-04-09,26,63.0,130,2019,Duke University,Computer Science & Engineering,B,"""77.8""",81.7
2557,Jorge Bautista,2,1995-01-26,28,61.0,105,2017,University of Alabama,Computer Science & Engineering,B,"""93.9""",77.2
2558,Travis Blake,0,1995-05-11,28,66.0,160,2017,Michigan State University,Math,,"""83.4""",76.7
2559,Thomas Garcia,0,2001-09-24,22,66.0,140,2023,MIT,Theology,,"""86.5""",81.9
2560,Charles Vaughn,2,1993-09-06,30,68.0,125,2015,Stanford University,Math,,"""79.7""",89.6
2561,Carla Davis,1,1997-04-26,26,66.0,120,2019,USC,Math,,"""82.5""",84.4
2562,William Johnson,0,2002-10-16,21,72.0,180,2024,USC,Math,A,"""84.6""",81.1
2563,Jennifer Beltran,1,2003-12-05,20,63.0,125,2025,University of Notre Dame,Computer Science & Engineering,A,"""92.2""",80.2
2564,James Ball,2,1992-02-04,31,67.0,170,2014,Harvard University,Theology,,"""98.2""",89.3
2565,Matthew Mcgee,0,1995-06-25,28,72.0,160,2017,Brown University,Computer Science & Engineering,A,"""66.0""",84.7
2566,Shari Davis,1,1997-05-24,26,63.0,125,2019,University of Michigan (boo),Math,,"""99.8""",91.0
2567,Mark Coleman,2,2003-03-01,20,64.0,115,2025,University of Notre Dame,Theology,,"""86.5""",85.9
2568,Crystal Murphy,2,1994-01-31,29,175.0,175,2016,Purdue,Computer Science & Engineering,B,"""78.7""",87.9
2569,Anthony Smith,2,2001-04-19,22,62.0,120,2023,UMBC,Computer Science & Engineering,Pass,"""86.6""",92.8
2570,Oscar Atkins,0,2000-08-25,23,67.0,165,2022,University of Florida,Math,,"""90.6""",78.7
2571,Jared Conway,0,2000-08-31,23,71.0,155,2022,University of Florida,Computer Science & Engineering,D,"""79.9""",95.8
2572,Ashley Zimmerman,1,2003-08-31,20,62.0,135,2025,Purdue,Computer Science & Engineering,F,"""94.4""",86.1
2573,Brenda Martinez,1,2000-07-10,23,67.0,110,2022,UMBC,Computer Science & Engineering,Pass,"""81.2""",73.2
2574,Christopher Davis,0,1994-12-07,29,62.0,130,2016,Duke University,Computer Science & Engineering,A,"""91.8""",82.3
2575,Randall Garcia,2,2002-06-21,21,69.0,175,2024,UCLA,Computer Science & Engineering,D,"""73.5""",92.7
2576,Gary Jensen,0,2001-07-17,22,65.0,155,2023,University of Nebraska,Computer Science & Engineering,Pass,"""82.7""",72.7
2577,Brendan Pham,0,2000-10-23,23,71.0,175,2022,University of Wisconsin,Computer Science & Engineering,B,"""84.5""",79.1
2578,Kristine Simon,1,1995-01-28,28,67.0,115,2017,University of Notre Dame,Computer Science & Engineering,C,"""89.0""",80.9
2579,Brian Jones,0,1998-09-13,25,66.0,150,2020,Harvard University,Computer Science & Engineering,D,"""86.4""",84.9
2580,Michael Snyder,0,1997-07-30,26,67.0,170,2019,University of Illinois,Computer Science & Engineering,B,"""86.8""",86.4
2581,Edwin Rush,0,2001-04-06,22,68.0,140,2023,University of Nebraska,Computer Science & Engineering,Pass,"""79.1""",83.7
2582,Timothy Clark,0,1997-02-20,26,71.0,150,2019,Michigan State University,Computer Science & Engineering,B,"""82.5""",94.9
2583,Jonathan Williams,0,1999-05-10,24,67.0,145,2021,University of Alabama,Computer Science & Engineering,B,"""95.1""",95.5
2584,Sarah Mccall,1,1997-11-12,26,65.0,135,2019,Holy Cross College,ACMS,,"""88.8""",95.4
2585,Ruth Patel,2,2000-05-01,23,67.0,140,2022,MIT,Computer Science & Engineering,B,"""85.4""",79.3
2586,James Hernandez,0,1998-06-24,25,67.0,165,2020,Marquette University,Computer Science & Engineering,Fail,"""77.6""",79.8
2587,Raymond Carey,0,1999-03-10,24,71.0,180,2021,University of Alabama,Theology,,"""78.9""",84.4
2588,Michael Lane,0,1999-11-13,24,65.0,135,2021,University of Wisconsin,Math,,"""88.8""",80.5
2589,Joan Robinson,1,2002-04-20,21,66.0,120,2024,Duke University,Computer Science & Engineering,A,"""77.1""",90.4
2590,Jerome Coleman,0,2003-02-18,20,69.0,150,2025,UMBC,Computer Science & Engineering,Pass,"""91.9""",82.0
2591,Alexandra Smith,1,1993-02-06,30,61.0,100,2015,University of Michigan (boo),Computer Science & Engineering,B,"""91.3""",87.6
2592,Theresa Mckinney,2,2003-04-07,20,71.0,180,2025,University of Illinois,Computer Science & Engineering,B,"""92.5""",79.8
2593,George Price,0,1994-09-10,29,70.0,145,2016,Stanford University,Computer Science & Engineering,A,"""89.1""",78.2
2594,Jane Lee,2,1993-12-04,30,69.0,170,2015,Harvard University,Electrical Engineering,,"""90.3""",71.1
2595,Stephanie Powell,1,2000-04-30,23,62.0,125,2022,Marquette University,Theology,,"""80.3""",81.2
2596,Jennifer Buckley,1,1997-07-03,26,65.0,120,2019,USC,Computer Science & Engineering,B,"""89.2""",85.0
